eta_min   eta_max   phi_min   phi_max
-2.7	  -2.25     -3.14     3.14 
-2.25	  -2        -3.14     3.14 
-2	      -1.7      -3.14     3.14 
-1.7	  -1.5      -3.14     3.14 
-1.5	  -1.05     -3.14     3.14 
-1.05	  -0.8      -3.14     3.14 
-0.8	  -0.4      -3.14     3.14 
-0.4	  0         -3.14     3.14
0	      0.4       -3.14     3.14
0.4	      0.8       -3.14     3.14
0.8	      1.05      -3.14     3.14
1.05	  1.5       -3.14     3.14
1.5	      1.7       -3.14     3.14
1.7	      2         -3.14     3.14
2	      2.25      -3.14     3.14
2.25	  2.7       -3.14     3.14
